Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH 340	Unnamed prospect	44.4608	-114.7119	160370863	N/A	N/A
CH 341	Unnamed prospect	44.4575	-114.7078	160370873	N/A	N/A
CH 342	Tonto Mine (Tonto Page; Buster)	44.4578	-114.7036	160370258	W014266	157
CH 343	Golden Gate Mine	44.4547	-114.7036	160370257	W014265	159
CH 344	Mountain Chief Mine	44.4539	-114.7106	160370259	W014267	158
CH 346	McFadden Mine (Altura; Fraction Lode Claims)	44.4503	-114.7056	160370267	W014277	161
CH 347	Charles Wain Mine	44.4475	-114.705	160370266	W014274	162
CH 348	Snowdrift Mine	44.4475	-114.7092	160370268	W014278	163
CH 349	Arcade Prospect	44.4461	-114.7086	160370870	W014276	164
CH 350	Montana Mine (Old Montana)	44.4439	-114.7056	160370270	W014280	521
CH 351	Gold Star Prospect (Lucky Day)	44.445	-114.7103	N/A	W014275	165
CH 352	Why Not Mine (Hidden Treasure; Thunderbolt; Estes Mountain; Franklin Group)	44.4414	-114.7086	160370269	W014279	167
CH 354	Kwajalein Prospect (Halloween Mine)	44.4411	-114.7242	160370265	W014273	170
CH 356	Payoff Group	44.4339	-114.7211	160370952	N/A	N/A
CH 357	Montana Gulch Placer	44.4339	-114.7142	160370955	N/A	N/A
CH 358	Jordan	44.4358	-114.7261	160370491	N/A	N/A
CH 359	Nugget Group	44.4319	-114.7158	N/A	N/A	N/A
CH 360	Anderson Prospect	44.4317	-114.7214	160370263	W014271	172
CH 361	North Sunbeam Prospect	44.4433	-114.7442	160370261	W014269	173
CH 362	Whale Mine	44.4419	-114.7508	160370262	W014270	174
CH 363	Golden Sunbeam Mine (Daisy; Bismarck; Sunbeam; Montana-Sunbeam)	44.44	-114.7411	160370034	W014272	176
CH 364	Jesse James Prospect	44.4392	-114.7483	160370260	W014268	175
CH 365	South Sunbeam	44.4353	-114.7417	160370322	N/A	177
CH 368	Skylark Mine (Shamrock; Silver Wing)	44.415	-114.3647	160370280	W014290	180
CH 369	Ramshorn Mine (Utah Boy; Post Boy; Aetna)	44.4103	-114.3614	160370279	W014288	621
CH 370	Virginia Dare Prospect	44.4047	-114.3742	160370343	W014343	182
CH 371	Juliet Lode	44.3878	-114.36	N/A	N/A	N/A
CH 372	Arizona Prospect	44.3997	-114.3614	160370514	N/A	183
CH 373	Keno Mine (McGregor Group; Salmon River Group)	44.4147	-114.3231	160370518	W014293	184
CH 374	Toolie Mine	44.4206	-114.3253	N/A	N/A	N/A
CH 375	Cave Mine	44.4139	-114.3306	160370336	W014334	185
CH 376	Forest Rose Mine	44.4125	-114.3286	160370334	W014332	187
CH 377	McGregor Group (Keno; Dave; Pacific; Silver Brick; Hoosier; Cave; Salmon River Group)	44.4094	-114.3164	N/A	W002483	186
CH 378	Democrat Prospect	44.4114	-114.3261	160370337	W014335	188
CH 379	Silver Brick Mine (McGregor Group)	44.4119	-114.3228	160370510	W014292	189
CH 380	Pacific Mine (McGregor Group; Salmon River Group)	44.4111	-114.3197	160370282	W014336	190
CH 383	Hood Prospect	44.4031	-114.3128	160370284	W014296	193
CH 384	Beardsley Mine	44.4039	-114.3069	160370283	W014294	194
CH 385	K-7	44.4025	-114.3078	N/A	N/A	N/A
CH 386	Excelsior Mine	44.4019	-114.3011	N/A	W014295	195
CH 387	Kuna Prospect	44.3997	-114.3008	160370335	W014333	196
CH 390	River View Mine (Riverview)	44.3861	-114.2972	160370339	W014339	202
CH 391	Hoosier Mine (McGregor Group)	44.4	-114.3239	160370526	W014337	197
CH 392	Barton Mine (Guy C. Barton; Jarvis; Cemetary)	44.3975	-114.3189	160370281	W014291	198
CH 394	Henie Hinie Prospect (Henie; Nameless Mine)	44.3856	-114.3211	160370338	W014338	203
