Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DU 315	Unnamed prospect	44.6369	-113.7378	160590878	N/A	319
DU 316	Hematite	44.7975	-113.4869	160590257	N/A	263
DU 317	Elmira Mine	44.7964	-113.4717	160590258	W015713	264
DU 318	Buckhorn Mine (Buck Horn)	44.7908	-113.4653	160590259	W015789	265
DU 321	Maryland Mine	44.7858	-113.4431	160590260	W015714	268
DU 322	Commodore Mine	44.7833	-113.4286	160590262	N/A	269
DU 323	Oklahoma	44.7781	-113.4381	N/A	N/A	271
DU 324	Ramshorn	44.7747	-113.4536	160590829	N/A	270
DU 327	Bullion Apex	44.7867	-113.2983	N/A	N/A	N/A
DU 330	Lois	44.7753	-113.2722	N/A	N/A	N/A
DU 333	Blue Lead Prospect	44.7644	-113.3481	160590398	D006769	274
DU 334	Owl Group (White Owl)	44.7769	-113.3458	N/A	N/A	N/A
DU 336	Plymouth Mine (Digmore Mine)	44.7717	-113.3481	160590266	N/A	276
DU 340	Copper Carbonate	44.75	-113.3586	160590270	N/A	280
DU 341	Grizzly Hill (Road Agent)	44.7414	-113.3169	160590269	N/A	313
DU 342	Jameison Group (Friday Group)	44.7317	-113.2856	160590277	N/A	314
DU 350	Peacock Mine	44.7369	-113.4025	160590272	W015793	296
DU 351	Mineral Hill Mine (Bob Detton Prospect)	44.7328	-113.4014	160590271	W015792	297
DU 354	Iron Dyke Claim	44.725	-113.3925	160590506	N/A	299
DU 355	Galena	44.7267	-113.3578	160590264	N/A	302
DU 357	Jewel Consolidated Co.	44.7167	-113.3794	160590507	N/A	301
DU 358	New Eldorado Claims (Jakes Creek Copper Prospects)	44.715	-113.365	160590508	N/A	303
DU 359	Lead Queen Claim (Iron Cap Claim)	44.71	-113.3453	160590509	N/A	305
DU 360	Dirigo	44.7094	-113.3392	160590510	N/A	306
DU 361	Silver Bell	44.7125	-113.3353	160590830	N/A	304
DU 362	Last Chance Claim	44.7097	-113.3297	160590276	N/A	307
DU 363	Baby Joe	44.7106	-113.3225	160590274	N/A	308
DU 364	Kimmel (Lead Hill)	44.7061	-113.3169	160590275	D006771	309
DU 365	Sunset Mine (Leadville Mine; Junction-Leadville Mine; Junction Mine Co.)	44.7036	-113.3081	160590273	W015794	310
DU 366	Junction Mill	44.68	-113.3356	160590487	N/A	311
DU 367	Hawley Creek	44.6764	-113.1886	160590278	N/A	349
DU 368	Big Bear Creek	44.6692	-113.1389	160590864	N/A	N/A
DU 370	Kay Claims	44.6314	-113.1675	160590834	W015857	351
DU 371	Dry Canyon	44.6194	-113.1147	160590869	N/A	N/A
DU 372	Clear Creek Gypsum Deposit	44.5544	-113.1028	160590288	W015816	352
DU 373	Unnamed prospect	44.5444	-113.0933	N/A	N/A	353
DU 374	Lombardi	44.5333	-113.1128	160590414	N/A	354
DU 375	Snowball Quarry	44.5297	-113.1214	160590458	N/A	355
DU 376	Divide Creek Area	44.4544	-113.0764	N/A	N/A	N/A
DU 377	Gold Nugget Group	44.4492	-113.1328	N/A	N/A	N/A
DU 378	Iron Flux	44.5758	-113.3642	N/A	N/A	363
DU 379	Larkspur	44.5606	-113.3717	N/A	N/A	N/A
DU 380	Unnamed prospect	44.5564	-113.3606	N/A	N/A	N/A
DU 382	West Eight Mile Creek (Mulkey)	44.6208	-113.5497	160590008	N/A	336
DU 383	Blue Jay Extension 181	44.6136	-113.5897	160590281	N/A	337
