"IndexedObjectId","MinGX","MinGY","MaxGX","MaxGY"
3512,763382853,1196988929,763382853,1196988929
3513,763346935,1196965897,763346935,1196965897
3514,763354398,1196949469,763354398,1196949469
3515,763335876,1196947322,763335876,1196947322
3516,763353083,1196945362,763353083,1196945362
3517,763338749,1196853316,763338749,1196853316
3518,763432785,1196850418,763432785,1196850418
3519,763444597,1196814447,763444597,1196814447
3520,763338831,1196809346,763338831,1196809346
3521,763250701,1196803950,763250701,1196803950
3522,763248365,1196816218,763248365,1196816218
3523,763260446,1196787683,763260446,1196787683
3524,763296148,1196801830,763296148,1196801830
3525,763179402,1196795950,763179402,1196795950
3526,763206837,1196797776,763206837,1196797776
3527,763232796,1196788488,763232796,1196788488
3528,763351421,1196783953,763351421,1196783953
3529,763278351,1196784704,763278351,1196784704
3530,763632535,1196758615,763632535,1196758615
3531,763293196,1196757807,763293196,1196757807
3532,763423874,1196776840,763423874,1196776840
3533,763383393,1196734722,763383393,1196734722
3534,763432787,1196707879,763432787,1196707879
3535,763455873,1196700363,763455873,1196700363
3536,763277600,1196747418,763277600,1196747418
3537,763279399,1196722588,763279399,1196722588
3538,763323799,1196726669,763323799,1196726669
3539,763342483,1196726561,763342483,1196726561
3540,763133687,1196757242,763133687,1196757242
3541,763283560,1196718347,763283560,1196718347
3542,763193980,1196719044,763193980,1196719044
3543,763208369,1196709488,763208369,1196709488
3544,763189954,1196704629,763189954,1196704629
3545,763176719,1196703394,763176719,1196703394
3546,763170438,1196696361,763170438,1196696361
3547,763201685,1196696523,763201685,1196696523
3548,763290835,1196652339,763290835,1196652339
3549,763268420,1196645789,763268420,1196645789
3550,763370133,1196660956,763370133,1196660956
3551,763239563,1196635588,763239563,1196635588
3552,763329706,1196622785,763329706,1196622785
3553,763320177,1196623134,763320177,1196623134
3554,763414802,1196643777,763414802,1196643777
3555,763445379,1196612478,763445379,1196612478
3556,763389569,1196598948,763389569,1196598948
3557,763913565,1196996449,763913565,1196996449
3558,763713843,1196969604,763713843,1196969604
3559,763741413,1196938305,763741413,1196938305
3560,763870346,1196936857,763870346,1196936857
3561,763834643,1196936051,763834643,1196936051
3562,763832388,1196933098,763832388,1196933098
3563,763832496,1196919676,763832496,1196919676
3564,763771291,1196913770,763771291,1196913770
3565,763822537,1196885934,763822537,1196885934
3566,763830886,1196873506,763830886,1196873506
3567,763609850,1196861049,763609850,1196861049
3568,763671969,1196780895,763671969,1196780895
3569,763695055,1196770426,763695055,1196770426
3570,763588537,1196765567,763588537,1196765567
3571,763578095,1196762345,763578095,1196762345
3572,763610227,1196753514,763610227,1196753514
3573,763676533,1196751099,763676533,1196751099
3574,763610228,1196741435,763610228,1196741435
3575,763617314,1196747770,763617314,1196747770
3576,763626576,1196744441,763626576,1196744441
3577,763613181,1196713786,763613181,1196713786
3578,763539493,1196709410,763539493,1196709410
3579,763557345,1196706538,763557345,1196706538
3580,763085211,1196458850,763085211,1196458850
3581,763693687,1196706431,763693687,1196706431
3582,763554876,1196661441,763554876,1196661441
3583,763559467,1196612478,763559467,1196612478
3584,763672991,1196650033,763672991,1196650033
3585,764915102,1196768314,764915102,1196768314
3586,764878568,1196740719,764878568,1196740719
3587,764466831,1196664669,764466831,1196664669
3588,764141826,1196716850,764141826,1196716850
3589,764212614,1196707885,764212614,1196707885
3590,764168590,1196688557,764168590,1196688557
3591,764149128,1196673256,764149128,1196673256
3592,764223084,1196665472,764223084,1196665472
3593,764206683,1196632965,764206683,1196632965
3594,764290142,1196615920,764290142,1196615920
3595,764241125,1196586848,764241125,1196586848
3596,764212670,1196566232,764212670,1196566232
3597,764193370,1196539281,764193370,1196539281
3598,764044892,1196637822,764044892,1196637822
3599,764000170,1196606496,764000170,1196606496
3600,763980762,1196569961,763980762,1196569961
3601,763976924,1196550581,763976924,1196550581
3602,763765927,1196544673,763765927,1196544673
3603,763963609,1196530448,763963609,1196530448
3604,763976307,1196520757,763976307,1196520757
3605,763952442,1196495390,763952442,1196495390
3606,763993568,1196491794,763993568,1196491794
3607,763954644,1196485619,763954644,1196485619
3608,763966724,1196487230,763966724,1196487230
3609,763994185,1196498397,763994185,1196498397
3610,764098530,1196470856,764098530,1196470856
3611,764030614,1196463340,764030614,1196463340
3612,764018051,1196455877,764018051,1196455877
3613,763968094,1196440979,763968094,1196440979
3614,764045647,1196424685,764045647,1196424685
3615,764031420,1196410458,764031420,1196410458
3616,764037326,1196397842,764037326,1196397842
3617,763974779,1196386567,763974779,1196386567
3618,764002428,1196374488,764002428,1196374488
3619,763774222,1196546848,763774222,1196546848
3620,764560789,1196414757,764560789,1196414757
