"SequenceNumber","Names","NameKey","CompositeName","Metric","AutoNumber","Initials"
"DU0073","Inspiration Group","DU0073-09637","Wonder Mine (Wonder and Buckhorn Claims;Silver Bell; Quinn Prospect; Inspiration Group)",1,3589,
"DU0073","Quinn Prospect","DU0073-12712","Wonder Mine (Wonder and Buckhorn Claims;Silver Bell; Quinn Prospect; Inspiration Group)",1,3590,
"DU0073","Silver Bell","DU0073-12716","Wonder Mine (Wonder and Buckhorn Claims;Silver Bell; Quinn Prospect; Inspiration Group)",1,3591,
"DU0074","Three-and-One Claim","DU0074-10839","Three-and-One Claim",1,3592,
"DU0075","Flying Eagle","DU0075-03541","Flying Eagle",1,3593,
"DU0076","Unnamed prospects","DU0076-11943","Unnamed prospects",1,3594,
"DU0077","Dictator No. 6 Prospect","DU0077-02867","Dictator No. 6 Prospect",1,3595,
"DU0078","Wonder Lode No. 18 Deposit","DU0078-12715","Wonder Lode No. 18 Deposit",1,3596,
"DU0079","Little Dandy No. 1 Deposit","DU0079-06127","Little Dandy No. 1 Deposit",1,3597,
"DU0080","No. 69 Thorium Deposit","DU0080-07657","No. 69 Thorium Deposit",1,3598,
"DU0081","Little Dandy No. 5 Deposit","DU0081-06128","Little Dandy No. 5 Deposit (Lucky R)",1,3599,
"DU0081","Lucky R","DU0081-06498","Little Dandy No. 5 Deposit (Lucky R)",1,3600,
"DU0082","No. 62 Thorium Deposit","DU0082-07656","No. 62 Thorium Deposit",1,3601,
"DU0083","Beaverhead Prospect","DU0083-00668","Beaverhead Prospect",1,3602,
"DU0084","Benny Prospect","DU0084-00737","Benny Prospect",1,3603,
"DU0085","No. 58 Thorium Deposit","DU0085-07654","No. 58 Thorium Deposit",1,3604,
"DU0086","Contact Prospect","DU0086-02317","Contact Prospect",1,3605,
"DU0087","No. 53 Thorium Deposit","DU0087-07653","No. 53 Thorium Deposit",1,3606,
"DU0088","No. 50 Thorium Deposit","DU0088-07652","No. 50 Thorium Deposit",1,3607,
"DU0089","Cago No. 10 Prospect","DU0089-01637","Cago No. 10 Prospect",1,3608,
"DU0090","Cago No. 12 Claim","DU0090-01638","Cago No. 12 Claim",1,3609,
"DU0091","Big Lost Nos. 1 and 2 Prospect","DU0091-00864","Big Lost Nos. 1 and 2 Prospect",1,3610,
"DU0092","Katy","DU0092-05606","Katy",1,3611,
"DU0093","Unnamed prospect","DU0093-11896","Unnamed prospect",1,3612,
