"SequenceNumber","Location_type","lon_WGS84","lat_WGS84"
"CH0743",0,-115.51359818,44.13953705319999
"CH0744",3,-115.534138468,44.11872708049999
"CH0745",0,-115.558299027,44.1106369782
"CH0746",0,-115.548828677,44.10410709839999
"CH0747",3,-115.427215495,44.1176078356
"CH0748",0,-115.470796362,44.0923377404
"CH0749",0,-115.460795635,44.0587380892
"CH0750",3,-115.461355523,44.0492781643
"CH0751",0,-115.491396317,44.04653797789999
"CH0752",3,-115.533267107,44.01917791579999
"CH0753",0,-115.533297098,44.01843792179999
"CH0754",0,-115.520236834,44.025667952
"CH0755",0,-115.496095893,44.00513829339999
"CH0756",0,-115.461595247,44.02813833979999
"CH0757",0,-115.437994703,44.036238436
"CH0758",0,-115.416894131,44.03703857599999
"CH0759",0,-115.409693921,44.0362386328
"CH0760",0,-115.352992345,44.0356390314
"CH0761",3,-115.464978687,45.0012210903
"CH0762",0,-115.496109339,44.98543097189999
"CH0763",0,-115.401106476,44.9715317342
"CH0764",0,-115.371605529,44.963131997
"CH0765",0,-115.254702278,44.96563280359999
"CH0766",0,-115.463008358,44.9817312303
"CH0767",0,-115.278303376,44.99673243669999
"CH0768",0,-115.307503671,44.9590324753
"CH0769",3,-115.348374713,44.951452237
"CH0770",3,-115.497748873,44.94900119779999
"CH0771",3,-115.481828497,44.9540412775
"CH0772",0,-115.4808083,44.9420313635
"CH0773",3,-115.466637395,44.90580170299999
"CH0774",3,-115.478588047,44.9284014689
"CH0775",3,-115.486478218,44.92486143639999
"CH0776",3,-115.474977623,44.9053916467
"CH0777",0,-115.4955083,44.9126314535
"CH0778",0,-115.458907025,44.8948318306
"CH0779",0,-115.077197647,44.9920338765
"CH0780",0,-115.070197404,44.98873394659999
"CH0781",0,-115.100798035,44.9720338405
"CH0782",0,-115.097997729,44.9556339663
"CH0783",0,-115.069997128,44.96923407369999
"CH0784",3,-115.084107373,44.95819404669999
"CH0785",3,-115.071356925,44.9517741774
"CH0786",0,-115.060796715,44.9581342097
"CH0787",0,-115.049696603,44.9726341933
"CH0788",0,-115.037696265,44.972634277
"CH0789",0,-115.044696389,44.9673342625
"CH0790",0,-115.100497554,44.9379340641
"CH0791",0,-115.053596033,44.92343448619999
"CH0792",0,-115.094696657,44.8848344542
"CH0793",0,-115.063895679,44.87673472269999
"CH0794",0,-115.056895447,44.8742347881
"CH0795",0,-115.044995026,44.867934913
"CH0796",0,-115.042494786,44.8556350125
"CH0797",0,-115.098596586,44.8717345141
"CH0798",0,-115.105796624,44.8598345434
"CH0799",0,-115.096396349,44.85903461429999
"CH0800",0,-115.085796047,44.8587346902
"CH0801",0,-115.083595939,44.8554347276
"CH0802",0,-115.068295417,44.84873487909999
"CH0803",0,-115.100496219,44.8412347051
"CH0804",0,-115.067995228,44.83563496919999
"CH0805",0,-115.163598782,44.8984338828
"CH0806",0,-115.160798604,44.89123395009999
"CH0807",0,-115.158898443,44.8834340152
"CH0808",0,-115.184099181,44.88563382429999
"CH0809",0,-115.221400453,44.90173345629999
"CH0810",0,-115.211099964,44.8873336239
"CH0811",0,-115.226100359,44.8854335315
"CH0812",0,-115.202499541,44.87423377139999
"CH0813",0,-115.245501019,44.8937333403
"CH0814",0,-115.253301215,44.8920332969
"CH0815",0,-115.248901056,44.88953334439999
"CH0816",0,-115.241900818,44.8865334134
"CH0817",0,-115.277201747,44.8820331957
"CH0818",0,-115.278001646,44.87313324949999
"CH0819",0,-115.2502008,44.8684334759
"CH0820",0,-115.259701028,44.865633428
"CH0821",0,-115.254700834,44.8617334892
"CH0822",0,-115.320502878,44.87593293219999
"CH0823",0,-115.328302912,44.8626329664
"CH0824",0,-115.335802728,44.8342331051
"CH0825",0,-115.328602508,44.8329331645
"CH0826",0,-115.335202589,44.8254331689
"CH0827",0,-115.34860293,44.82293309169999
"CH0828",0,-115.340502695,44.8223331527
"CH0829",0,-115.361403196,44.8162330473
"CH0830",0,-115.379403657,44.8131329418
"CH0831",0,-115.372503429,44.8106330074
"CH0832",0,-115.377503515,44.80673299879999
"CH0833",0,-115.391404067,44.8184328212
"CH0834",0,-115.521608013,44.8398317569
"CH0835",0,-115.417204755,44.8159326565
"CH0836",0,-115.46220585,44.80403242049999
"CH0837",0,-115.48190591,44.7687325243
"CH0838",0,-115.496606136,44.7554325128
"CH0839",0,-115.365202893,44.78673322229999
"CH0840",3,-115.371143006,44.78287320699999
"CH0841",0,-115.351401823,44.7373336609
"CH0842",0,-114.928892941,44.95403515429999
"CH0843",0,-114.618884641,44.98733708149999
"CH0844",0,-114.614384366,44.9765371813
"CH0845",0,-114.58768329,44.952937516
"CH0846",0,-114.608582974,44.8862378068
"CH0847",0,-114.736087795,44.9756363494
"CH0848",0,-114.731387628,44.9731363979
"CH0849",0,-114.726887361,44.9629364944
"CH0850",0,-114.726087163,44.95013658249999
"CH0851",0,-114.732687251,44.94293658359999
"CH0852",0,-114.727487058,44.9395366415
"CH0853",0,-114.721586816,44.9340367178
"CH0854",3,-114.715496578,44.92920679109999
"CH0855",0,-114.72018667,44.9262367782
"CH0856",0,-114.721086532,44.9142368502
"CH0857",0,-114.729986738,44.9109368105
"CH0858",0,-114.728886564,44.9004368869
"CH0859",0,-114.7238864,44.8987369324
"CH0860",0,-114.728886469,44.89343693279999
"CH0861",0,-114.725786328,44.8895369798
"CH0862",0,-114.718286101,44.8884370387
"CH0863",0,-114.769987325,44.87123679619999
"CH0864",3,-114.778287132,44.839836948
"CH0865",0,-114.786887295,44.8340369276
"CH0866",0,-114.808587543,44.80733695759999
"CH0867",0,-114.84518838,44.79313680129999
"CH0868",0,-114.846388331,44.78703683449999
"CH0869",0,-114.859988687,44.7851367535
"CH0870",0,-114.85328845,44.7815368243
"CH0871",0,-114.86548877,44.7798367517
"CH0872",0,-114.881589166,44.7756366691
"CH0873",0,-114.876088989,44.774036718
"CH0874",0,-114.884689178,44.7701366853
"CH0875",0,-114.891089324,44.7676366582
"CH0876",0,-114.904089685,44.7673365704
"CH0877",0,-114.889689238,44.7642366911
"CH0878",0,-114.896889419,44.7626366523
"CH0879",0,-114.954391217,44.7759361633
"CH0880",0,-114.98299201,44.7751359706
"CH0881",0,-114.991592187,44.7704359431
"CH0882",0,-114.918889701,44.73793667029999
"CH0883",0,-114.915189211,44.709536893
"CH0884",0,-114.956890552,44.7220365176
"CH0885",0,-114.987191471,44.727036273
"CH0886",0,-114.997491722,44.724236221
"CH0887",0,-115.098294452,44.71703557119999
"CH0888",0,-115.01639215,44.7167361422
"CH0889",0,-115.010791982,44.7159361866
"CH0890",0,-115.003891777,44.71513624
"CH0891",0,-115.033592577,44.7126360514
"CH0892",0,-115.029692289,44.69953616999999
"CH0893",0,-115.012991824,44.69983628369999
"CH0894",0,-114.994691315,44.70013640849999
"CH0895",0,-115.046592679,44.6934360955
"CH0896",0,-115.02689207,44.6892362617
"CH0897",0,-114.996091169,44.6865364941
"CH0898",0,-115.008891305,44.67013652089999
"CH0899",0,-115.022991651,44.6665364486
"CH0900",0,-115.005190951,44.6517366767
"CH0901",0,-115.083893097,44.6473361622
"CH0902",0,-115.164995387,44.6487355882
"CH0903",0,-115.098595226,44.7729351823
"CH0904",0,-115.095495039,44.7656352541
"CH0905",3,-115.073864435,44.76584540309999
"CH0906",0,-115.112195474,44.76313515499999
"CH0907",0,-115.105495248,44.76043522019999
"CH0908",0,-115.105795203,44.75653524499999
"CH0909",0,-115.142496218,44.75543499689999
"CH0910",0,-115.13189573,44.74153516689999
"CH0911",0,-115.144395916,44.7295351631
"CH0912",0,-115.150796046,44.7259351436
"CH0913",0,-115.155496143,44.72343512819999
"CH0914",0,-115.150195976,44.72203517489999
"CH0915",0,-115.146595834,44.7190352209
"CH0916",0,-115.137695576,44.71843528709999
"CH0917",0,-115.143595707,44.71593526349999
"CH0918",0,-115.141095577,44.7115353116
"CH0919",0,-115.190797129,44.7231348841
"CH0920",0,-115.190197056,44.71903491689999
"CH0921",0,-115.207197661,44.72843473259999
"CH0922",0,-115.209997637,44.7209347654
"CH0923",0,-115.204097452,44.7195348164
"CH0924",0,-115.230498177,44.7184346396
"CH0925",0,-115.23689836,44.7187345928
"CH0926",3,-115.245519091,44.75427428539999
"CH0927",0,-115.238898268,44.7079346544
"CH0928",0,-115.274399249,44.7070344124
"CH0929",0,-115.226597747,44.6951348302
"CH0930",3,-115.302379667,44.6804844036
"CH0931",0,-115.312199875,44.6756343691
"CH0932",3,-115.298939378,44.6664345272
"CH0933",3,-115.290499122,44.6650145964
"CH0934",3,-115.273468597,44.66147474069999
"CH0935",0,-115.276898576,44.65293477749999
"CH0936",0,-115.362500797,44.6404342674
"CH0937",0,-115.329399879,44.64093449569999
"CH0938",0,-115.333019893,44.6345545161
"CH0939",0,-115.340500037,44.62983449759999
"CH0940",0,-115.265498066,44.6390349564
"CH0941",0,-115.227696902,44.6312352761
"CH0942",0,-115.223296768,44.6304353126
"CH0943",0,-115.216596596,44.6315353514
"CH0944",0,-115.225196775,44.6270353237
"CH0945",0,-115.214696496,44.62813538899999
"CH0946",0,-115.192495853,44.62653555529999
"CH0947",3,-115.219406564,44.6234453898
"CH0948",0,-115.219696542,44.6212354037
"CH0949",0,-115.209696205,44.61703550359999
"CH0950",0,-115.311898959,44.60953484389999
"CH0951",0,-115.340799351,44.57923486129999
"CH0952",0,-115.340199229,44.5715349216
"CH0953",0,-115.345199315,44.56763491509999
"CH0954",0,-115.337698976,44.55813503709999
"CH0955",0,-115.336898863,44.551535091
"CH0956",0,-115.289697514,44.54923543779999
"CH0957",0,-115.218595809,44.5698357831
"CH0958",0,-115.188594962,44.5692359964
"CH0959",0,-115.188594815,44.5584360752
"CH0960",0,-114.685484007,44.8023378384
"CH0961",0,-114.658882833,44.7709382339
"CH0962",0,-114.780185567,44.7206377466
"CH0963",0,-114.783585603,44.7162377537
"CH0964",0,-114.770485208,44.7142378577
"CH0965",0,-114.797185956,44.71403767539999
"CH0966",0,-114.776385322,44.7104378435
"CH0967",0,-114.75218463,44.7095380161
"CH0968",0,-114.810186076,44.695937712
"CH0969",0,-114.765484847,44.6979380054
"CH0970",0,-114.751384404,44.694538126
"CH0971",0,-114.739983526,44.6531384949
"CH0972",3,-114.736893398,44.6501185374
"CH0973",0,-114.657681347,44.6631389883
"CH0974",0,-114.603879998,44.67543926969999
"CH0975",0,-114.607979994,44.6665393041
"CH0976",0,-114.625480371,44.65793924499999
"CH0977",0,-114.520176932,44.6223402145
"CH0978",0,-114.53047736,44.6326400714
"CH0979",0,-114.554667628,44.6017801261
"CH0980",0,-114.550177476,44.59984017049999
"CH0981",3,-114.558997708,44.59859011939999
"CH0982",0,-114.512676311,44.59154048489999
"CH0983",0,-114.651079796,44.56123976009999
"CH0984",0,-114.627678595,44.5204402165
"CH0985",0,-114.670180251,44.5551396738
"CH0986",0,-114.559677344,44.5698403211
"CH0987",0,-114.772182986,44.5456390448
"CH0988",0,-114.774382827,44.5292391493
"CH0989",0,-114.774982726,44.52043920969999
"CH0990",0,-114.766882462,44.5176392857
"CH0991",3,-114.9299588,44.6487272184
"CH0992",0,-114.904988096,44.6484373928
"CH0993",0,-114.944688289,44.5804376057
"CH0994",0,-114.95718847,44.56793760999999
"CH0995",0,-114.966588084,44.51983789649999
"CH0996",0,-115.042689538,44.4698377414
"CH0997",0,-115.10889148,44.4767372317
"CH0998",0,-115.043589488,44.46423777699999
"CH0999",0,-115.074989744,44.4181379068
