Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HA1038	Silver Eagle Prospect (Eagle Creek Mine)	43.8128	-114.3475	160130208	D006791	556
HA1040	Merry Mack Workings (Homestake Mine)	43.8069	-114.3286	160370042	N/A	554
HA1043	Strike Three Prospect	43.7842	-114.3808	160130441	N/A	559
HA1044	Homestake Mine (Debora Group; Merry Mack)	43.8006	-114.325	160130138	M060180	588
HA1045	Big Doe Claim	43.7375	-114.31	160130209	N/A	898
HA1046	Long Grade (Debora Group)	43.7831	-114.3083	160130247	N/A	590
HA1047	Meg Nos. 1 & 2 Prospects	43.785	-114.3194	N/A	N/A	589
HA1048	Auburn Group	43.7839	-114.3003	160130432	N/A	591
HA1049	Horseshoe Mine	43.7819	-114.3267	160130182	N/A	613
HA1050	Lake Creek Group (Lake View Nos. 1 & 2)	43.7731	-114.3294	160130139	W013714	592
HA1051	Price Group (Big Doe Zinc Property; Smith and Price Group)	43.77	-114.3219	160130140	N/A	593
HA1053	Daisy Mine (Mattie Mine)	43.7456	-114.2867	160130189	D006794	599
HA1054	Black Tail (Ramshorn; Hilltop)	43.7433	-114.31	160130300	N/A	611
HA1055	Unnamed location	43.7358	-114.3139	160130301	N/A	612
HA1056	Ruby Silver	43.7358	-114.3139	N/A	N/A	490
HA1058	White Cloud Prospect	43.7297	-114.2697	160130302	N/A	601
HA1059	Moonlight Mine	43.6889	-114.4544	160130143	W013827	651
HA1062	Allen Mine	43.6756	-114.4525	160130142	W013828	649
HA1069	Ontario Mine (Murphy and Davis; Boston-Idaho Mining Co.)	43.6656	-114.5169	160130185	W013865	645
HA1072	Lucky Boy Mine (Boston-Idaho Mining Co.)	43.665	-114.5042	160130402	W013864	646
HA1073	C and P Silver Mine (Cimarron Silver Mine; Catherina Mine)	43.6536	-114.4572	N/A	W013607	648
HA1074	Grandview (Bassitt Creek; Bassett Creek)	43.6553	-114.4328	160130224	N/A	656
HA1075	Blue Kitten Mine	43.6425	-114.4953	160130186	M060178	652
HA1076	White Elephant (Silver Hoard)	43.6478	-114.4586	N/A	N/A	547
HA1077	New Hope Mine (Sun Valley Lead-Silver Mine; Last Hope)	43.6353	-114.4717	160130144	W013716	647
HA1099	White Cloud Mine (Black Rock)	43.7278	-114.0739	160130422	N/A	615
HA1100	Queen Victoria	43.7172	-114.0606	N/A	N/A	604
HA1102	Joe Anderson Mine	43.7172	-114.1361	160130093	W013601	868
HA1105	Paymaster Mine (Consolidated Mascot Mines)	43.7017	-114.1142	160130334	N/A	710
HA1109	Sunshine Prospect	43.6953	-114.1031	160130335	N/A	711
HA1110	Mascot Mine (Consolidated Mascot Mines)	43.6953	-114.0972	160130336	W013826	603
HA1113	Candy Mountain Prospect	43.6908	-114.1836	N/A	N/A	743
HA1115	Broadway Mine	43.6864	-114.1933	160130135	W013889	701
HA1116	Blue Bell Prospect (Johnson; Blue Grouse; Wellington)	43.6697	-114.1547	160130146	W013888	702
HA1117	Leilani Prospect	43.6653	-114.1494	160130091	W013598	703
HA1120	Wild Cat	43.6653	-114.1883	160130298	N/A	706
HA1121	Unnamed location	43.6597	-114.1778	160130244	N/A	707
HA1124	Silver Knight Prospect	43.6458	-114.1081	160130333	N/A	617
HA1125	Lucky G.I. Mine (Duquette Prospect; Minnesota)	43.6475	-114.2436	160130080	W013587	683
HA1126	Unnamed mines	43.6033	-114.2914	160130330	N/A	733
HA1127	Ohio Group (A. W. Linderman)	43.5997	-114.2869	160130183	D006796	734
HA1130	Unnamed prospects	43.5869	-114.2761	160130332	N/A	736
HA1131	Lulu (Star Mountain; Bellevue)	43.5661	-114.2728	160130218	N/A	732
HA1132	Betty Jean Prospect	43.5456	-114.2736	160130073	W013581	737
HA1133	Sundown Mine	43.6147	-114.3922	160130261	W013833	729
HA1134	Buena Vista	43.6064	-114.3956	160130317	N/A	730
HA1136	Imperial Group Mine	43.5886	-114.4064	160130127	W013706	718
HA1139	Red Leaf Group (Lucky May; Occidental)	43.5703	-114.4181	160130095	M060179	719
HA1140	Blumite (Blomide)	43.5631	-114.41	160130126	N/A	765
HA1141	Deer Creek	43.5614	-114.4042	160130318	N/A	725
HA1142	Le Despencer Mine	43.5575	-114.4236	160130118	W013697	720
HA1143	Washington Mine	43.5553	-114.4339	160130212	N/A	722
HA1145	Snow Fly Mine	43.5483	-114.4264	160130119	W013705	721
HA1146	Davitt Mine	43.5472	-114.4203	160130120	W013704	723
HA1147	Rattler Mine (Little Scorpion)	43.5472	-114.4028	160130123	W013703	724
HA1148	Margaret Mining Claims	43.5669	-114.4425	160130094	N/A	716
HA1150	Jolly Sailor	43.5642	-114.4544	160130116	N/A	715
HA1151	Nay-Aug Mine	43.5614	-114.4653	160130114	W013695	717
HA1152	Sun Valley Barite Mine (Bonnie Group; Deer Creek Barite Deposit; Bonnie Barite Mine; Old Soldier Mine)	43.5489	-114.4889	160130092	N/A	714
HA1153	Ajax Mine	43.5519	-114.4719	160130112	W013693	712
HA1154	Black Hawk Mine	43.5483	-114.4819	160130124	W013701	713
HA1155	Jackpot Mine	43.5381	-114.5142	160130481	N/A	750
HA1156	Patsy No. 3 (Rowe Property)	43.5308	-114.5144	160130210	N/A	766
HA1157	Porcupine Creek Prospect	43.6067	-114.0953	160130215	N/A	740
HA1159	Silver King Mine (Lucky Boy)	43.5678	-114.0644	160130205	N/A	741
HA1161	Quigley Prospect	43.5581	-114.2056	160130075	W013583	738
HA1162	Clearwater and Wolverine Prospect	43.5564	-114.1983	160130074	W013582	739
HA1164	Slaughterhouse Creek Prospect	43.5036	-114.2306	160130071	W013579	751
HA1165	Roadside Prospect	43.4947	-114.2325	160130202	W013574	752
HA1166	Constantine Prospect	43.485	-114.2406	160130067	W013575	753
HA1167	Slaughterhouse Gulch Prospect (Silver Strike Mine)	43.4806	-114.2417	160150227	W013580	754
HA1168	Slaughterhouse Creek Prospect (Woodrow)	43.4803	-114.2344	160130072	W013578	755
HA1169	Silver Wing Mine	43.4753	-114.2394	160130068	W013576	756
HA1170	Storm Petrel Prospect	43.4756	-114.2319	160130069	W013577	757
HA1173	Monday Mine	43.4628	-114.2375	160130061	W013569	758
HA1174	Marjory Prospect	43.4486	-114.2344	160130063	W013571	759
HA1175	Sunrise Prospect (Black Jack)	43.4394	-114.2289	160130064	W013572	760
HA1176	Lookout Mountain Claim (Miller Claims)	43.4389	-114.2086	160130191	N/A	825
HA1178	Pumice Deposit Prospect	43.3633	-114.0036	160130484	W013545	831
HA1179	Murray Copper Prospect	43.2767	-114.1697	160130349	N/A	843
HA1180	Telluride Prospect	43.455	-114.2733	160130023	W013656	823
HA1181	Hillside Prospect	43.4522	-114.2889	160130054	W013562	822
HA1182	Chicago Mine (Bellevue King)	43.4536	-114.2964	160130055	W013563	817
HA1183	South Chicago Prospect	43.4497	-114.2992	160130053	W013561	821
HA1184	Lee Gulch Prospect (Little Joint; Big Joint)	43.4528	-114.3281	160130060	W013567	809
HA1185	Hill Billy	43.4494	-114.3372	160130059	N/A	814
HA1186	Unnamed mine	43.4539	-114.3606	160130285	N/A	805
HA1187	Westlake North Prospect (Ivanhoe)	43.4436	-114.3553	160130045	W013553	807
HA1188	Pioneer Mine	43.4383	-114.3639	160130046	W013554	806
HA1189	Edres Mine (Veta Grande; Edna)	43.4431	-114.325	160130049	W013557	810
HA1190	Unnamed location	43.4422	-114.3172	160130260	N/A	824
HA1191	Utah-Bellevue Mine (Kelley Group)	43.4439	-114.3114	160130052	W013560	818
HA1193	Broken Wheelbarrow Prospect	43.4406	-114.3008	160130051	W013559	819
HA1194	Lark Mine	43.4331	-114.2789	160130050	W013558	820
HA1195	Midnight Deposit	43.4325	-114.2878	160130487	D001139	849
HA1196	Hidden Treasure	43.4378	-114.3381	160130259	N/A	815
HA1197	Westlake South Prospect(see Westlake North Prospect, 877, for production figures)	43.4358	-114.3475	160130045	W013552	808
HA1198	Starter Prospect	43.4294	-114.3556	160130047	W013555	811
HA1200	Alturas Prospect	43.4161	-114.3517	160130048	W013556	812
HA1201	Unnamed location	43.4083	-114.3392	160130255	N/A	813
